IPR	description	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
IPR016167	FAD-binding, type 2, subdomain 1	3409	3239	4216	1601	1832	2363	2893	3494	2650	1732	2184	3021	4656	3695	1629	3903	1401	3618	3286	5081	2991	3151	1785	3217
IPR016169	CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2	6023	6441	7615	3315	3311	4757	5713	6795	5003	3142	4243	5406	9161	6423	3050	7032	3076	7835	7135	10230	6054	6222	3320	6521
IPR016170	Vanillyl-alcohol oxidase/Cytokinin dehydrogenase C-terminal domain	135	249	1300	96	231	93	160	266	82	183	87	111	242	146	53	1141	79	102	107	242	194	186	52	232
IPR016171	Vanillyl-alcohol oxidase, C-terminal subdomain 2	967	910	1547	439	533	765	931	1002	740	527	711	887	1436	1010	485	1365	471	1172	1166	1646	1015	1004	543	1052
IPR016172	D-lactate dehydrogenase, C-terminal subdomain 1	12	15	5	24	10	17	8	17	13	11	16	5	20	9	10	11	17	33	21	27	17	8	15	35
IPR016173	D-lactate dehydrogenase, C-terminal subdomain 2	10	8	4	15	7	11	6	4	7	7	13	9	36	7	10	0	13	14	12	43	23	10	11	15
IPR016176	Cobalamin (vitamin B12)-dependent enzyme, catalytic	3911	6249	5570	2655	2839	4126	4351	6575	4257	2693	3739	4531	8412	4179	2199	5226	2531	6542	6090	9387	5718	4686	2412	6266
IPR016179	Insulin-like	0	0	1	5	3	0	0	2	0	2	0	2	0	0	6	1	12	4	2	0	0	1	9	1
IPR016180	Ribosomal protein L10e/L16	2513	1747	1393	822	776	1074	1614	1839	1310	768	949	1391	1809	2713	960	1247	735	1280	1243	2050	1275	1766	1086	1364
IPR016183	Leukocidin/porin	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	3	2	1	1	1	0	0
IPR016186	C-type lectin-like/link domain	1836	1937	970	868	1002	1710	1571	2096	1429	858	1548	1625	2911	2136	862	866	812	806	733	3369	2321	1707	1013	2591
IPR016188	PurM-like, N-terminal domain	3333	4131	6040	2240	2125	2976	2952	4473	3026	1985	2675	3349	5555	3581	1811	5674	2115	6614	5960	6423	3961	3298	1975	4302
IPR016189	Translation initiation factor IF2/IF5, N-terminal	9	10	8	17	10	4	6	22	3	12	8	7	16	21	4	10	9	8	3	3	28	22	10	13
IPR016192	APOBEC/CMP deaminase, zinc-binding	264	302	224	267	262	243	190	292	187	218	236	248	222	335	252	228	248	264	203	334	238	231	278	254
IPR016194	SPOC-like, C-terminal domain	73	147	63	58	65	115	155	158	104	68	111	123	213	81	98	62	46	48	46	252	195	198	123	220
IPR016202	Deoxyribonuclease I	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR016223	DNA alpha-glucosyltransferase	0	0	1	1	1	3	1	0	3	1	3	2	4	0	1	0	0	9	9	3	2	2	1	1
IPR016286	Alpha-L-fucosidase, metazoa-type	5	15	8	8	6	17	16	20	16	5	9	12	20	8	5	16	2	12	11	39	17	12	6	21
IPR016288	1, 4-beta cellobiohydrolase	70	58	43	22	25	207	141	54	108	21	202	109	84	70	25	40	24	11	10	81	16	180	33	21
IPR016291	Isochorismatase	4	10	2	11	0	9	1	11	1	0	6	2	7	4	0	0	5	8	3	5	7	1	0	13
IPR016305	Mannose-6-phosphate isomerase	35	67	12	24	27	39	45	56	53	18	25	61	33	37	9	9	24	18	17	56	55	55	18	54
IPR016340	Ribosomal protein L31, mitochondrial	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
IPR016410	Bacteriophage-associated immunity protein	51	59	11	95	41	48	74	61	36	22	52	39	14	58	45	13	100	9	16	18	10	62	44	12
IPR016412	RNA polymerase inhibitor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IPR016435	Diphthamide synthesis DPH1/DPH2	5	12	7	13	4	10	15	7	4	5	5	9	14	6	6	10	15	11	6	11	30	7	4	20
IPR016449	Potassium channel, inwardly rectifying, Kir	42	43	15	13	73	46	30	58	22	54	35	42	71	59	28	16	19	12	9	119	39	47	31	38
IPR016477	Fructosamine/Ketosamine-3-kinase	93	95	31	52	76	55	57	113	85	85	62	80	198	110	32	25	48	685	643	208	79	73	46	77
IPR016482	Protein transport protein SecG/Sec61-beta/Sbh	6	6	4	1	0	5	9	4	4	0	1	1	5	3	1	3	2	6	4	6	9	6	1	13
IPR016502	Type II secretion system (T2SS) pilotin, S protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR016514	Fimbrial protein MatB	0	1	0	19	0	4	1	2	1	0	5	1	0	2	1	0	17	0	0	0	3	1	1	3
IPR016516	Uncharacterised conserved protein UCP07580	299	605	312	382	345	486	469	665	347	333	399	408	521	321	181	291	350	240	201	616	1004	529	240	1109
IPR016541	Uncharacterised conserved protein UCP008505	52	61	17	31	33	37	53	59	33	42	26	37	45	38	20	16	22	35	34	77	82	46	21	101
IPR016553	Protein tyrosine phosphatase receptor type C-associated protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR016560	T-cell leukemia translocation-altered gene protein	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR016565	Proteasome assembly chaperone 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR016566	Uncharacterised conserved protein UCP010219	80	168	15	61	63	36	101	180	128	63	30	130	89	94	18	18	49	21	15	92	118	119	19	136
IPR016576	Ribosomal protein 63, mitochondrial	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
IPR016582	D-(-)-3-hydroxybutyrate oligomer hydrolase, putative	197	323	185	141	133	306	265	341	306	115	271	372	681	198	84	168	141	2365	2239	802	638	272	96	683
IPR016621	Uncharacterised conserved protein UCP014543	4	1	2	6	1	6	1	4	3	1	5	1	1	3	7	5	2	20	15	1	3	3	3	0
IPR016624	Uncharacterised conserved protein UCP014753	120	89	22	82	51	125	60	102	70	47	98	68	70	110	58	21	77	187	179	80	111	61	69	126
IPR016630	Uncharacterised conserved protein UCP015278	0	0	0	0	2	4	0	2	1	1	0	0	1	0	0	1	1	2	1	0	0	1	3	0
IPR016633	Uncharacterised conserved protein UCP015557	357	475	1391	306	328	457	375	523	401	319	406	446	959	371	206	1357	288	965	884	1113	733	407	255	802
IPR016706	Cleavage/polyadenylation specificity factor subunit 5	0	3	1	0	0	0	0	1	1	0	0	0	4	0	0	1	0	0	1	2	1	0	0	1
IPR016719	Calcium signal-modulating cyclophilin ligand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IPR016736	Uncharacterised conserved protein UCP018814	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR016750	Acetophenone carboxylase beta subunit/Acetone carboxylase gamma subunit	6	2	9	4	6	16	28	3	4	7	14	5	17	8	10	7	2	35	30	16	4	26	9	3
IPR016754	Uncharacterised conserved protein UCP019262	0	2	1	5	1	3	0	2	0	1	5	1	2	0	0	1	3	0	0	0	2	0	1	1
IPR016755	Uncharacterised conserved protein UCP019302	60	50	494	57	85	64	69	68	84	88	59	104	227	62	29	473	48	247	197	251	86	72	45	99
IPR016757	Uncharacterised conserved protein UCP019322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IPR016760	Methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC	0	0	0	0	0	0	2	0	2	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0
IPR016762	Uncharacterised conserved protein UCP019464, methanogenesis	0	0	2	4	0	1	3	0	1	0	2	1	1	0	0	3	4	3	5	2	5	2	0	3
IPR016768	Uncharacterised conserved protein UCP019883, membrane	37	68	595	35	97	47	43	79	47	78	39	53	77	36	30	549	44	239	201	94	95	60	21	96
IPR016772	Uncharacterised conserved protein UCP020408	29	50	661	31	54	31	29	51	33	54	25	39	64	46	9	583	23	72	59	75	40	36	15	24
IPR016787	Uncharacterised conserved protein UCP021328	3	6	3	9	6	7	2	5	4	1	6	2	2	3	1	2	12	14	15	6	3	1	3	3
IPR016833	Putative sodium bile acid cotransporter	59	109	33	99	52	134	75	108	80	50	114	67	85	59	69	34	97	117	116	99	113	75	72	132
IPR016856	NADPH-dependent 7-cyano-7-deazaguanine reductase, QueF type 1	5	12	6	6	9	6	5	6	5	6	7	8	12	6	5	1	2	5	3	17	0	7	6	3
IPR016866	Uncharacterised conserved protein UCP028069	8	32	15	43	13	33	15	31	11	15	28	8	42	15	19	11	41	35	31	43	23	12	16	21
IPR016879	Uncharacterised conserved protein UCP028299	6	10	5	13	7	6	5	9	2	7	7	5	0	11	4	5	11	44	31	0	1	3	5	1
IPR016888	Uncharacterised conserved protein UCP028498	1	3	4	7	1	2	3	0	0	1	4	1	1	2	3	1	7	2	3	7	3	6	7	2
IPR016891	Protein of unknown function DUF2321	3	0	1	0	0	0	0	2	1	2	0	1	1	1	1	0	0	1	0	1	0	1	2	0
IPR016896	Protein of unknown function DUF2860	15	20	7	21	7	18	10	17	14	7	20	12	10	13	10	4	26	30	28	13	15	12	12	13
IPR016900	Alpha-2-glucosyltransferase Alg10	3	17	6	10	4	1	13	11	2	7	5	5	10	1	1	3	5	6	4	12	30	11	2	30
IPR016905	Glycyl radical enzyme, HI0521, predicted	39	38	17	48	12	45	28	41	36	12	42	40	102	42	23	20	50	92	98	113	42	29	29	41
IPR016908	Uncharacterised conserved protein UCP029037	6	6	5	21	7	14	4	7	4	6	10	3	16	11	6	3	19	22	20	21	13	7	5	15
IPR016913	Uncharacterised conserved protein UCP029215	372	284	1292	2593	701	802	638	336	1147	659	791	1260	70	385	1190	1223	2377	438	363	89	471	666	1284	528
IPR016935	Staphylopine dehydrogenase	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
IPR016936	Uncharacterised conserved protein UCP029693	24	50	16	21	25	10	23	59	23	24	9	25	54	31	6	16	24	31	30	48	164	21	12	171
IPR016939	Mitochondrial ribosomal protein S25	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0
IPR016958	Uncharacterised conserved protein UCP030798	1	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0	6	4	2	0	1	1	0	0
IPR016963	Glycoporin RafY	11	17	157	86	22	25	4	16	6	20	25	6	10	20	4	108	81	85	72	8	13	7	5	13
IPR016965	Phosphatase PHOSPHO-type	5	0	4	1	1	4	1	4	2	0	3	2	4	6	9	2	4	4	1	5	4	3	6	4
IPR016977	Competence operon G, ComGF	0	1	1	3	0	1	0	4	0	0	1	0	0	0	1	0	4	0	0	0	2	0	0	2
IPR016979	Protein of unknown function DUF2129	0	2	0	4	0	1	1	3	0	0	2	0	0	1	5	0	5	2	1	2	1	1	4	0
IPR017030	Virulence effector, SrfC	13	25	11	22	37	26	5	25	22	32	24	22	42	18	14	9	16	36	35	51	7	8	21	17
IPR017039	Virulence factor BrkB	279	374	659	200	289	322	284	411	215	265	288	242	559	330	159	591	183	441	378	730	437	341	169	422
IPR017059	[NiFe]-hydrogenase-3-type complex Eha, membrane protein EhaH, predicted	1	1	0	2	0	3	0	0	1	0	0	0	2	0	0	0	2	2	3	2	0	1	0	1
IPR017098	Uncharacterised conserved protein UCP037052	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	1	2
IPR017136	Uncharacterised conserved protein UCP037205	33	52	278	24	31	26	24	103	16	31	21	26	88	30	9	230	18	138	139	115	53	26	13	64
IPR017162	Uncharacterised conserved protein UCP037266	2	5	0	8	4	8	1	10	4	1	5	3	2	1	3	2	5	11	11	2	4	1	3	3
IPR017195	ABC-type thiamin-related transport system, permease component 1, predicted	16	86	15	36	18	26	90	102	32	21	16	43	21	14	6	21	33	10	7	24	77	100	8	80
IPR017199	Uncharacterised conserved protein UCP037409, membrane transporter, MTH672	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	1
IPR017211	Uncharacterised conserved protein UCP037465, zinc finger protein, AF1427	1	0	0	4	0	1	0	0	0	0	1	0	2	1	0	0	3	1	0	1	1	1	0	2
IPR017218	BLOC-2 complex, Hps6 subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR017243	Biogenesis of lysosome-related organelles complex 1 subunit 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IPR017259	Uncharacterised conserved protein UCP037672	7	7	2	8	3	4	1	6	3	4	4	4	2	5	4	3	5	24	26	3	2	1	1	1
IPR017266	Cyclin-dependent kinase 2-associated protein 1/2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR017384	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex subunit 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IPR017395	Chlorophyllase	11	16	3	2	7	21	19	9	18	5	13	17	19	20	12	3	3	6	0	29	11	23	8	10
IPR017423	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	1	2	3	5	0	3	4	1	2	0	3	1	3	0	1	4	2	2	3	7	16	2	2	16
IPR017437	ATP-NAD kinase, PpnK-type, all-beta	484	783	971	439	394	502	576	819	558	336	489	546	911	579	286	856	409	992	944	1003	627	609	322	749
IPR017438	Inorganic polyphosphate/ATP-NAD kinase, domain 1	912	1313	1214	699	689	879	1020	1423	937	644	817	990	1663	989	481	1096	655	1370	1185	1910	1139	1120	568	1294
IPR017440	ATP-citrate lyase/succinyl-CoA ligase, active site	133	221	349	110	126	173	193	277	150	111	150	207	318	194	90	310	115	312	288	323	263	233	108	295
IPR017441	Protein kinase, ATP binding site	890	1437	1119	786	729	755	1387	1570	1050	568	642	1125	3033	978	599	1001	751	1201	1033	3451	2418	1737	690	2717
IPR017443	Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal	107	123	81	95	72	170	140	146	164	85	148	159	234	114	67	80	82	250	226	250	196	140	85	227
IPR017448	SRCR-like domain	1	9	10	6	9	2	1	10	8	9	0	5	9	3	1	2	4	4	7	8	6	8	10	13
IPR017454	Neuromodulin (GAP-43), C-terminal	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017456	CTP synthase, N-terminal	4691	3148	2596	1451	1539	1983	2930	3323	2614	1453	1835	2809	3445	5024	1719	2443	1419	2528	2313	3789	2163	3062	1895	2311
IPR017459	Glycosyl transferase family 3, N-terminal domain	347	534	929	319	293	348	380	502	388	270	369	427	736	379	205	822	310	907	895	859	592	439	204	722
IPR017460	Conserved hypothetical domain CHP03000, planctomycetes	2	2	1	0	0	0	0	1	1	0	0	1	4	0	1	1	0	0	0	6	1	1	3	0
IPR017481	Conserved hypothetical protein CHP03032	177	253	53	117	64	85	90	257	105	55	77	130	265	181	61	48	111	34	31	291	39	97	58	58
IPR017483	Conserved hypothetical protein CHP03034	0	0	0	5	1	0	2	2	0	1	0	0	54	0	0	0	3	3	4	55	1	2	0	0
IPR017492	Photosystem I PsaK, reaction centre	1	0	0	0	4	0	0	2	1	2	1	1	3	3	0	0	1	0	0	1	2	0	1	1
IPR017496	Photosynthetic complex assembly protein 2, putative	38	56	23	25	21	76	47	51	34	19	64	30	133	35	27	24	17	29	24	164	35	56	29	40
IPR017499	Protein Thf1	0	2	0	0	3	0	0	5	0	4	0	0	1	1	1	0	0	0	0	0	1	0	2	1
IPR017502	Sortase B cell surface sorting signal	5	2	2	4	1	3	3	0	3	4	3	0	3	3	0	5	7	2	4	0	2	6	0	6
IPR017503	Sortase B signal domain, QVPTGV class	0	0	1	2	0	2	0	5	0	0	1	2	1	0	2	0	0	0	0	1	0	0	0	0
IPR017504	Conserved hypothetical protein CHP03067, planctomycetes	1	0	0	2	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0
IPR017505	Sortase B signal domain, NPQTN class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR017507	Transcription regulator, HipB-like	0	8	1	2	0	4	2	2	3	0	3	5	2	2	0	1	5	10	2	1	9	3	0	4
IPR017508	HipA, N-terminal subdomain 1	288	468	801	231	269	251	307	466	330	257	232	329	578	314	141	760	259	641	539	696	459	321	152	522
IPR017517	Conserved hypothetical protein CHP03083, actinobacterial-type	1	2	2	1	3	0	5	2	13	1	0	23	3	0	0	0	0	0	1	3	3	4	0	3
IPR017557	Phosphoribosyl-dephospho-CoA transferase	4	19	12	30	12	27	31	17	48	5	22	37	78	5	22	8	31	10	4	77	14	34	17	8
IPR017560	Cytochrome c-type biogenesis protein CcmI	61	55	96	26	37	58	60	76	61	31	51	68	173	77	37	105	36	219	201	215	78	43	36	108
IPR017574	CRISPR-associated protein Csc2	2	6	0	4	2	1	0	5	0	6	0	0	2	0	0	0	1	0	1	5	2	1	0	1
IPR017576	CRISPR-associated protein Csc1	0	0	0	0	3	0	1	2	0	5	0	1	1	1	1	0	1	0	0	0	0	0	0	0
IPR017581	N-ATPase, AtpR subunit-like	1	7	2	1	6	14	7	6	5	4	5	3	7	7	4	2	3	5	2	13	6	5	5	2
IPR017585	Flagella basal body P-ring formation protein FlgA, C-terminal	143	189	70	133	130	186	155	192	155	93	173	164	479	153	91	69	110	182	161	544	177	170	92	226
IPR017587	Putative selenium-dependent hydroxylase accessory protein YqeC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017589	CRISPR associated protein Csc3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
IPR017592	Pilus assembly, Flp-type CpaB	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017601	DGQHR-containing domain	2	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0
IPR017642	DNA sulphur modification protein DndB	29	28	18	12	11	27	26	29	14	7	14	16	30	30	16	14	14	17	17	31	25	34	15	28
IPR017645	DNA phosphorothioation-dependent restriction protein DptG	2	1	6	3	9	4	1	4	3	5	7	2	3	7	2	1	2	1	1	5	4	0	0	5
IPR017647	DNA phosphorothioation-dependent restriction protein DptF	0	1	0	1	2	0	0	1	0	0	2	0	1	0	0	1	0	0	0	2	3	1	0	2
IPR017690	Outer membrane insertion C-terminal signal, omp85 target	81	132	321	42	74	85	58	137	58	79	84	71	110	71	35	301	59	179	145	117	105	58	53	98
IPR017703	YgfZ/GcvT conserved site	149	265	413	132	157	158	163	269	177	121	128	199	327	177	94	377	123	369	323	377	276	201	95	296
IPR017704	Putative selenium-binding protein YdfZ	1	2	0	12	0	4	1	3	0	2	6	0	1	5	3	0	5	9	6	1	1	1	0	2
IPR017716	S-adenosylmethionine decarboxylase proenzyme	9	11	3	0	9	2	7	9	10	5	0	17	43	9	4	7	3	17	6	55	28	3	3	39
IPR017732	Type IV / VI secretion system, DotU	60	204	1037	142	166	165	181	232	126	159	136	135	521	67	64	970	136	119	108	576	105	198	64	126
IPR017734	Type VI secretion system, lipoprotein SciN	22	40	14	58	23	66	28	52	50	14	60	68	238	21	22	9	43	34	40	266	37	40	24	40
IPR017737	Type VI secretion system, lysozyme-related protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR017738	Type VI secretion system-associated, VCA0118	0	0	0	4	1	0	0	0	2	1	0	0	1	0	0	0	2	0	2	0	0	0	0	0
IPR017739	Type VI secretion system-associated, VCA0119	8	106	8	34	4	33	75	109	16	4	26	17	26	13	7	17	22	22	17	28	21	94	4	26
IPR017744	Cellulose biosynthesis protein BcsG	48	46	37	72	28	68	42	47	48	24	59	56	41	46	30	32	62	646	603	45	128	36	35	139
IPR017745	Cellulose biosynthesis protein BcsE	37	21	26	33	23	26	20	30	31	24	23	22	16	29	11	20	30	395	357	24	70	20	8	69
IPR017746	Cellulose synthase operon protein BcsQ	29	25	13	29	17	23	5	21	11	10	25	17	17	27	21	10	31	224	204	30	47	22	26	48
IPR017748	Type VI secretion system-associated, BMAA0400	24	40	31	46	38	91	59	58	67	33	77	92	282	24	36	31	58	45	42	310	73	75	27	68
IPR017756	Transmembrane Gly-Cys-Arg, conserved site	77	94	29	59	69	83	69	83	66	38	73	81	453	72	33	38	52	44	34	487	97	72	49	96
IPR017801	Soil-associated protein DUF3738	0	0	0	0	0	2	0	2	1	1	2	1	0	2	4	0	0	0	0	0	0	0	4	1
IPR017803	Conserved hypothetical protein CHP03437, C-terminal, Solibacter usitatus	12	13	4	5	5	14	8	18	22	7	16	11	52	16	24	6	5	1	5	51	2	12	29	5
IPR017825	Lycopene cyclase domain	17	27	8	9	15	23	9	20	15	7	30	14	27	22	6	3	4	4	5	34	6	13	7	7
IPR017844	Cell division protein FtsZ, C-terminal extension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR017849	Alkaline phosphatase-like, alpha/beta/alpha	7527	9413	3764	4315	3993	6412	6638	9966	6426	3703	5840	7294	16262	8133	4081	3380	4016	5097	4667	18318	7862	7312	4472	8839
IPR017852	GPI ethanolamine phosphate transferase 1, C-terminal	0	2	1	0	0	0	1	2	0	1	0	0	2	0	0	0	0	3	3	4	0	0	2	0
IPR017855	SMAD domain-like	1	5	11	2	2	2	6	5	0	0	2	2	8	3	1	5	0	5	2	11	1	6	2	3
IPR017856	Integrase, N-terminal zinc-binding domain-like	1198	1064	1351	490	543	701	944	1160	722	491	602	785	1164	1257	511	1271	481	1000	904	1261	852	989	533	877
IPR017857	Coagulation factor, subgroup, Gla domain	1	6	18	6	18	3	6	7	2	14	6	8	0	6	5	17	8	0	1	1	11	14	14	21
IPR017859	Treacle-like, Treacher Collins Syndrome	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IPR017860	Peptidase M22, conserved site	257	193	207	61	71	113	157	196	130	83	82	157	206	305	109	236	58	192	196	217	173	206	139	171
IPR017861	Kae1/TsaD family	859	647	576	260	288	383	574	694	544	234	341	594	687	967	346	488	271	554	469	789	440	679	409	488
IPR017864	Arrestin, conserved site	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
IPR017865	F-actin capping protein, alpha subunit, conserved site	0	1	1	0	1	0	0	1	0	0	0	0	2	1	0	2	0	1	0	0	2	1	0	1
IPR017866	Succinyl-CoA synthetase, beta subunit, conserved site	109	161	258	95	109	137	104	216	131	78	108	129	252	134	70	188	113	239	208	283	163	158	66	222
IPR017867	Protein-tyrosine phosphatase, low molecular weight	20	35	57	18	21	13	21	38	34	16	24	30	27	23	10	62	19	61	58	59	29	14	13	33
IPR017868	Filamin/ABP280 repeat-like	0	10	9	7	4	19	5	6	6	1	8	2	15	4	4	15	4	7	3	20	11	5	4	19
IPR017870	FeS cluster insertion, C-terminal, conserved site	69	116	239	58	67	88	70	117	75	71	66	93	200	80	52	220	56	161	146	228	133	80	46	142
IPR017872	Pyrimidine-nucleoside phosphorylase, conserved site	69	98	207	66	63	54	61	96	65	46	64	59	125	62	29	194	55	81	64	133	139	94	45	113
IPR017874	CRIC domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR017878	TB domain	0	2	1	0	1	1	1	1	1	1	1	0	1	0	2	0	1	0	2	0	2	0	1	1
IPR017891	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017892	Protein kinase, C-terminal	0	12	14	3	3	3	6	9	3	2	3	3	11	3	3	11	3	7	12	6	29	5	6	21
IPR017893	DBB domain	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	3797	4979	8121	2896	2941	4072	3887	5299	3937	2658	3749	4246	7656	4139	2180	7403	2704	9014	8322	8813	5248	4301	2283	5979
IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	2949	4137	6229	2357	2269	3364	3210	4306	3102	2142	3023	3332	6408	3283	1762	5629	2231	7416	6833	7237	4144	3482	1822	4779
IPR017904	ADF/Cofilin	0	0	4	2	0	2	0	1	0	0	1	0	1	0	0	7	0	0	1	1	1	0	0	4
IPR017905	ERV/ALR sulfhydryl oxidase domain	23	94	53	50	45	57	52	89	23	45	49	31	30	32	85	41	49	7	6	28	14	77	107	26
IPR017907	Zinc finger, RING-type, conserved site	25	49	46	32	36	29	44	50	27	35	41	31	48	18	20	53	46	43	32	59	97	75	33	110
IPR017910	Zinc finger, large T-antigen D1-type	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR017913	Colipase, N-terminal	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
IPR017915	Colipase, conserved site	0	1	1	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0
IPR017916	Steadiness box (SB) domain	6	2	0	0	1	7	2	4	1	2	5	0	0	8	7	1	4	2	2	2	11	4	5	12
IPR017918	Nitrogen regulatory protein PII, conserved site	191	245	548	132	148	194	174	276	190	173	168	216	438	218	103	545	144	465	470	426	305	215	115	285
IPR017920	COMM domain	1	0	2	1	1	3	4	8	2	0	3	2	8	0	4	8	0	3	2	6	6	5	3	6
IPR017923	Transcription factor IIS, N-terminal	1	1	2	0	1	2	2	3	0	2	0	1	3	0	3	4	2	2	2	3	2	4	2	2
IPR017925	Dihydrofolate reductase conserved site	153	175	275	127	196	174	136	184	138	181	118	120	142	158	133	266	155	227	218	162	271	152	190	270
IPR017926	Glutamine amidotransferase	4349	4578	5005	2417	2239	3157	3703	4812	3307	1999	2802	3730	5705	4829	2095	4521	2137	5413	4729	6387	3903	4129	2306	4387
IPR017932	Glutamine amidotransferase type 2 domain	2585	3748	4667	1938	1780	2435	2790	3931	2525	1684	2251	2767	4686	2769	1436	4305	1775	4842	4470	5194	3462	2964	1583	3801
IPR017937	Thioredoxin, conserved site	885	1263	1717	619	815	918	894	1287	842	658	763	956	1821	1030	531	1645	550	1544	1370	1980	1308	943	542	1425
IPR017941	Rieske [2Fe-2S] iron-sulphur domain	1493	2015	5635	1038	1402	1757	1672	2263	1686	1270	1597	1980	5762	1588	939	5044	995	2917	2599	6337	2267	1753	973	2486
IPR017942	Lipid-binding serum glycoprotein, N-terminal	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IPR017944	KaiA/RbsU helical domain	2	3	0	1	5	1	3	5	0	9	0	0	6	3	3	2	2	2	0	1	2	1	5	3
IPR017945	DHBP synthase RibB-like alpha/beta domain	3347	4293	5507	2165	2081	2746	3363	4555	2976	1947	2572	3291	5404	3667	1653	5116	2037	5600	5188	6076	3825	3669	1800	4178
IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain	1328	2049	1567	1237	835	1344	1718	2134	1334	851	1248	1568	2371	1444	810	1436	1144	1684	1420	2719	2054	1814	799	2248
